Profile Name;Type of Profile;Access Actionable Relationship Center for partner users;Access Activities;Access Custom Mobile Apps;Access drag-and-drop content builder;Access Event Monitoring Analytics Templates and Apps;Access Experience Management;Access Libraries;Access to view Data Assessment;Access to View-Only Licensed Templates and Apps;Access Tracer for External Data Sources;Account Switcher User;Activate Contracts;Activate Email for Automation;Add CRM Analytics Remote Connections;Add People to Direct Messages;Add Recipients to CRM Analytics Notifications;Agent Initiated Outbound Messaging;Allow access to all Pardot features;Allow Access to Customized Actions;Allow blockchain data upload;Allow consumer key and secret rotation;Allow Inclusion of Code Snippets from UI;Allow sending of List Emails;Allows the Cloud Integration User to perform SalesforceIQ internal operations;Allow users to view MLModels and related Entities;Allow user to access privacy data;Allow user to create AI Insight records;Allow user to modify Private Connections;Allow View Knowledge;Apex REST Services;API Enabled;Api Only User;Approve Contracts;Assign Permission Sets;Assign Topics;Author Apex;Bulk API Hard Delete;Campaign Influence;Can Approve Feed Post and Comment;Change Dashboard Colors;Chatter Internal User;Close Conversation Threads;Configure Custom Recommendations;Connect Organization to Environment Hub;Connect Org to Customer 360 Data Manager;Connect Org to Salesforce CDP;Convert Leads;Create AI Insight Objects;Create and Customize Dashboards;Create and Customize List Views;Create and Customize Reports;Create and Edit CRM Analytics Dashboards;Create and Own New Chatter Groups;Create and Set Up Experiences;Create and Update Second-Generation Packages;Create and Upload Change Sets;Create AppExchange Packages;Create B2B Marketing Analytics Apps;Create CMS Workspaces and Channels;Create Content Deliveries;Create CRM Analytics Apps;Create Dashboard Folders;Create Folders for Lightning Email Templates;Create Libraries;Create Public Links;Create Report Folders;Create Topics;Customize Application;Debug Apex;Delete Activated Contracts;Delete Second-Generation Packages;Delete Topics;Deploy Change Sets;Download AppExchange Packages;Download CRM Analytics Data;Drag-and-Drop Dashboard Builder;Edit Case Comments;Edit CRM Analytics Dataflows;Edit Dataset Recipes;Edit Events;Edit HTML Templates;Edit My Dashboards;Edit My Own Posts;Edit My Reports;Edit Opportunity Product Sales Price;Edit Posts on Records I Own;Edit Read Only Fields;Edit Tasks;Edit Topics;Einstein Search;Email-Based Identity Verification Option;Enable blockchain transaction polling API;Enable RecordVisibility API;Enable Salesforce CMS Integration;End Messaging Session;Exempt from Transaction Security;Export Reports;Files Connect Cloud;Give Recognition Badges in Experience Builder Sites;Hide Option to Switch to Salesforce Classic;Hide the Seen By List;Import Custom Objects;Import Leads;Import Personal Contacts;Import Solutions;Insert System Field Values for Chatter Feeds;Instant Actionable Results;Invite Customers To Chatter;IP Restrict Requests;Is Single Sign-On Enabled;Knowledge One;Lightning Console User;Lightning Experience User;Lightning Login User;Manage All Private Reports and Dashboards;Manage Articles;Manage Auth. Providers;Manage Billing;Manage Bots;Manage Bots Training Data;Manage Business Hours Holidays;Manage Call Centers;Manage Cases;Manage Categories;Manage Certificates;Manage Chatter Messages and Direct Messages;Manage Connected Apps;Manage Content Permissions;Manage Content Properties;Manage CRM Analytics;Manage CRM Analytics Custom Maps;Manage CRM Analytics Private Assets;Manage CRM Analytics Subscriptions;Manage CRM Analytics Templated Apps;Manage Customer Users;Manage Custom Permissions;Manage Custom Report Types;Manage Dashboards in Public Folders;Manage Data Categories;Manage Data Integrations;Manage Dynamic Dashboards;Manage Email Client Configurations;Manage Email Content;Manage Entitlements;Manage Experiences;Manage Flow;Manage Health Check;Manage Internal Users;Manage IP Addresses;Manage Knowledge Article Import/Export;Manage Leads;Manage Learning;Manage Learning Reporting;Manage Letterheads;Manage Lightning Sync;Manage Login Access Policies;Manage Macros Users Can't Undo;Manage marketing setup tasks;Manage Mobile Configurations;Manage Multi-Factor Authentication in API;Manage Multi-Factor Authentication in User Interface;Manage Next Best Action Recommendations;Manage Next Best Action Strategies;Manage Package Licenses;Manage Password Policies;Manage Profiles and Permission Sets;Manage Promoted Search Terms;Manage Prompts;Manage Public Classic Email Templates;Manage Public Documents;Manage Public Lightning Email Templates;Manage Public List Views;Manage Published Solutions;Manage Quotas;Manage record types and layouts for Files;Manage Unlisted Groups;Manage Users;Mass Edits from Lists;Mass Email;Merge Topics;Moderate Chatter;Moderate Experience Cloud Site Users;Modify All Data;Modify Data Classification;Modify Metadata Through Metadata API Functions;Multi-Factor Authentication for API Logins;Multi-Factor Authentication for User Interface Logins;Natural Language Search;Order Management Integration User;Override Forecasts;Password Never Expires;Pin Posts in Feeds;Publish Einstein Lead Scoring results;Query All Files;Quip Metrics;Quip User Engagement Metrics;Remain in Salesforce Classic;Remove Logos from Accounts;Remove People from Direct Messages;Report Builder;Report Builder (Lightning Experience);Reset User Passwords and Unlock Users;Run Flows;Run Macros on Multiple Records;Run Reports;Sales Console;Salesforce Anywhere in Lightning Experience;Salesforce Anywhere Integration Access;Salesforce Anywhere on Mobile;Salesforce Mobile App: Native scrolling on webviews;Schedule Dashboards;Schedule Reports;Security Analytics Operations;Select Files from Salesforce;Send announcement emails;Send Custom Notifications;Send Email;Send Non-Commercial Email;Send Outbound Messages;Send Stay-in-Touch Requests;Set Audit Fields upon Record Creation;Share internal Knowledge articles externally;Show App Launcher in Experience Cloud Sites;Show Company Name as Site Role;Skip Device Activation at Login;Subscribe to CRM Analytics Assets;Subscribe to Dashboards;Subscribe to Dashboards: Add Recipients;Subscribe to Dashboards: Send to Groups and Roles;Subscribe to Reports: Set Running User;Tag Manager;Test Sandboxes in Mobile Publisher for Experience Cloud;Transfer Cases;Transfer Leads;Transfer Record;Trend Report Data in CRM Analytics;Update Activity Metrics Data;Update Consent Preferences Using REST API;Update One Sync Engine Data;Update Records with Inactive Owners;Upload AppExchange Packages;Upload External Data to CRM Analytics;Use Conversation Insights for Sales;Use CRM Analytics;Use CRM Analytics Templated Apps;Use Einstein Account Insights;Use Einstein Activity Capture;Use Einstein Activity Capture Standard;Use Einstein Automated Contacts;Use Einstein Forecasting;Use Einstein Lead Scoring;Use Einstein Opportunity Insights;Use Einstein Opportunity Scoring;Use Identity Connect;Use Identity Features;Use Inbox;User Has Unlimited Next Best Action Strategy Executions;User license to access Lightning components and features delivered in Financial Services Cloud.;Use Salesforce Meetings;Use Team Reassignment Wizards;Use Video Conferencing with Zoom;Verify Answers to Chatter Questions;View AI Insight Objects;View All Activities;View All Custom Settings;View All Data;View All Forecasts;View All Lookup Record Names;View All Profiles;View All Users;View and Edit Converted Leads;View Concealed Field Data;View Content in Portals;View CRM Analytics on Experience Cloud site pages.;View Dashboards in Public Folders;View Data Categories in Setup;View DeveloperName;View Encrypted Data;View Event Log Files;View Flow Usage and Flow Event Data;View Health Check;View Help Link;View Login Forensics Events;View My Team's Dashboards;View Opportunity Scoring Model Factors;View Private Static Resources;View Real-Time Event Monitoring Data;View Reports in Public Folders;View Restriction and Scoping Rules;View Roles and Role Hierarchy;View Setup and Configuration;View Threat Detection Events;View Trust Measures;Waive Multi-Factor Authentication for Exempt Users;Weekly Data Export
Analytics Cloud Integration User;Standard;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0
Analytics Cloud Security User;Standard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
ARI Marketing User;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
ARIZA - Manager;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
ARIZA - Standard User;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
B2BMA Integration User;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0
CA - BDR Team;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
CA - DM Sales and Directors of New Business Development;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
CA - VP Sales;Custom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Chatter External User;Standard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
